true_class,correct_predictions,total_samples,most_confused_with,confused_count
Aloe Vera Disease,9,11,Aloe Vera Young Healthy,2
Aloe Vera Dried,9,9,None (perfect),0
Aloe Vera Mature Healthy,9,9,None (perfect),0
Aloe Vera Young Healthy,8,8,None (perfect),0
Azadirachta Indica Chlorotic,12,18,Azadirachta Indica Disease,6
Azadirachta Indica Disease,13,18,Azadirachta Indica Chlorotic,3
Azadirachta Indica Healthy,20,23,Azadirachta Indica Disease,2
Hibiscus Rosa Sinensis Chlorotic,12,12,None (perfect),0
Hibiscus Rosa Sinensis Disease,5,9,Hibiscus Rosa Sinensis Healthy,3
Hibiscus Rosa Sinensis Healthy,10,10,None (perfect),0
Kalanchoe Pinnata Chlorotic,8,9,Piper Betle Chlorotic,1
Kalanchoe Pinnata Disease,8,11,Kalanchoe Pinnata Healthy,2
Kalanchoe Pinnata Healthy,8,8,None (perfect),0
Piper Betle Chlorotic,17,17,None (perfect),0
Piper Betle Disease,15,15,None (perfect),0
Piper Betle Healthy,12,13,Piper Betle Disease,1
