true_class,correct_predictions,total_samples,most_confused_with,confused_count
Aloe Vera Disease,10,11,Aloe Vera Young Healthy,1
Aloe Vera Dried,9,9,None (perfect),0
Aloe Vera Mature Healthy,9,9,None (perfect),0
Aloe Vera Young Healthy,8,8,None (perfect),0
Azadirachta Indica Chlorotic,10,18,Azadirachta Indica Disease,5
Azadirachta Indica Disease,12,18,Azadirachta Indica Chlorotic,4
Azadirachta Indica Healthy,22,23,Azadirachta Indica Chlorotic,1
Hibiscus Rosa Sinensis Chlorotic,12,12,None (perfect),0
Hibiscus Rosa Sinensis Disease,7,9,Hibiscus Rosa Sinensis Healthy,1
Hibiscus Rosa Sinensis Healthy,9,10,Hibiscus Rosa Sinensis Disease,1
Kalanchoe Pinnata Chlorotic,7,9,Kalanchoe Pinnata Disease,1
Kalanchoe Pinnata Disease,5,11,Hibiscus Rosa Sinensis Disease,2
Kalanchoe Pinnata Healthy,7,8,Azadirachta Indica Healthy,1
Piper Betle Chlorotic,15,17,Piper Betle Disease,2
Piper Betle Disease,15,15,None (perfect),0
Piper Betle Healthy,12,13,Azadirachta Indica Healthy,1
