true_class,correct_predictions,total_samples,most_confused_with,confused_count
Aloe Vera Disease,11,11,None (perfect),0
Aloe Vera Dried,9,9,None (perfect),0
Aloe Vera Mature Healthy,9,9,None (perfect),0
Aloe Vera Young Healthy,8,8,None (perfect),0
Azadirachta Indica Chlorotic,16,18,Azadirachta Indica Disease,2
Azadirachta Indica Disease,11,18,Azadirachta Indica Chlorotic,6
Azadirachta Indica Healthy,21,23,Azadirachta Indica Disease,2
Hibiscus Rosa Sinensis Chlorotic,12,12,None (perfect),0
Hibiscus Rosa Sinensis Disease,5,9,Hibiscus Rosa Sinensis Chlorotic,1
Hibiscus Rosa Sinensis Healthy,9,10,Hibiscus Rosa Sinensis Disease,1
Kalanchoe Pinnata Chlorotic,6,9,Kalanchoe Pinnata Disease,3
Kalanchoe Pinnata Disease,8,11,Kalanchoe Pinnata Healthy,2
Kalanchoe Pinnata Healthy,8,8,None (perfect),0
Piper Betle Chlorotic,17,17,None (perfect),0
Piper Betle Disease,14,15,Piper Betle Chlorotic,1
Piper Betle Healthy,13,13,None (perfect),0
