true_class,correct_predictions,total_samples,most_confused_with,confused_count
Aloe Vera Disease,10,11,Aloe Vera Young Healthy,1
Aloe Vera Dried,9,9,None (perfect),0
Aloe Vera Mature Healthy,9,9,None (perfect),0
Aloe Vera Young Healthy,8,8,None (perfect),0
Azadirachta Indica Chlorotic,15,18,Azadirachta Indica Healthy,3
Azadirachta Indica Disease,11,18,Azadirachta Indica Chlorotic,6
Azadirachta Indica Healthy,22,23,Azadirachta Indica Chlorotic,1
Hibiscus Rosa Sinensis Chlorotic,12,12,None (perfect),0
Hibiscus Rosa Sinensis Disease,6,9,Hibiscus Rosa Sinensis Healthy,2
Hibiscus Rosa Sinensis Healthy,7,10,Hibiscus Rosa Sinensis Disease,3
Kalanchoe Pinnata Chlorotic,8,9,Kalanchoe Pinnata Healthy,1
Kalanchoe Pinnata Disease,6,11,Kalanchoe Pinnata Healthy,2
Kalanchoe Pinnata Healthy,7,8,Azadirachta Indica Healthy,1
Piper Betle Chlorotic,16,17,Piper Betle Disease,1
Piper Betle Disease,14,15,Piper Betle Chlorotic,1
Piper Betle Healthy,12,13,Aloe Vera Mature Healthy,1
