,precision,recall,f1-score,support
Aloe Vera Disease,1.0,0.9091,0.9524,11.0
Aloe Vera Dried,1.0,1.0,1.0,9.0
Aloe Vera Mature Healthy,0.9,1.0,0.9474,9.0
Aloe Vera Young Healthy,0.8889,1.0,0.9412,8.0
Azadirachta Indica Chlorotic,0.6818,0.8333,0.75,18.0
Azadirachta Indica Disease,1.0,0.6111,0.7586,18.0
Azadirachta Indica Healthy,0.8148,0.9565,0.88,23.0
Hibiscus Rosa Sinensis Chlorotic,0.9231,1.0,0.96,12.0
Hibiscus Rosa Sinensis Disease,0.6,0.6667,0.6316,9.0
Hibiscus Rosa Sinensis Healthy,0.7778,0.7,0.7368,10.0
Kalanchoe Pinnata Chlorotic,0.8889,0.8889,0.8889,9.0
Kalanchoe Pinnata Disease,0.8571,0.5455,0.6667,11.0
Kalanchoe Pinnata Healthy,0.7,0.875,0.7778,8.0
Piper Betle Chlorotic,0.9412,0.9412,0.9412,17.0
Piper Betle Disease,0.9333,0.9333,0.9333,15.0
Piper Betle Healthy,1.0,0.9231,0.96,13.0
accuracy,0.86,0.86,0.86,0.86
macro avg,0.8692,0.8615,0.8579,200.0
weighted avg,0.8725,0.86,0.8577,200.0
