true_class,correct_predictions,total_samples,most_confused_with,confused_count
Aloe Vera Disease,11,11,None (perfect),0
Aloe Vera Dried,8,9,Kalanchoe Pinnata Disease,1
Aloe Vera Mature Healthy,9,9,None (perfect),0
Aloe Vera Young Healthy,8,8,None (perfect),0
Azadirachta Indica Chlorotic,14,18,Azadirachta Indica Disease,4
Azadirachta Indica Disease,12,18,Azadirachta Indica Chlorotic,3
Azadirachta Indica Healthy,22,23,Azadirachta Indica Chlorotic,1
Hibiscus Rosa Sinensis Chlorotic,11,12,Kalanchoe Pinnata Chlorotic,1
Hibiscus Rosa Sinensis Disease,6,9,Kalanchoe Pinnata Disease,2
Hibiscus Rosa Sinensis Healthy,10,10,None (perfect),0
Kalanchoe Pinnata Chlorotic,8,9,Kalanchoe Pinnata Disease,1
Kalanchoe Pinnata Disease,9,11,Kalanchoe Pinnata Chlorotic,1
Kalanchoe Pinnata Healthy,8,8,None (perfect),0
Piper Betle Chlorotic,17,17,None (perfect),0
Piper Betle Disease,15,15,None (perfect),0
Piper Betle Healthy,13,13,None (perfect),0
